participant_id,stimulus_id,stimulus_duration,touch_order_correct,touch_order,touch_precisions,touch_time_deltas
PP001,S01,3957,false,"B,D,C,A","44.14748010928823,26.419689627245813,44.94441010848846,29.410882339705484","1440,438,1462,617"
PP001,S02,3985,true,"A,B,C,D","14.422205101855956,3.605551275463989,14.317821063276353,38.2099463490856","1283,600,1357,745"
