participant_id,stimulus_id,stimulus_duration,touch_order_correct,touch_order,touch_precisions,touch_time_deltas
PP001,S01,5017,true,"A,B,C,D","19.924858845171276,13.038404810405298,36.235341863986875,28.635642126552707","1435,1351,1117,1126"
PP001,S02,4133,false,"B,C,D,A","70.00714249274856,24.596747752497688,54.91812087098393,41.86884283091664","1058,1055,1523,496"
