participant_id,condition,domain,test_start_time,stimulus_id,stimulus_start_time,stimulus_end_time,button_id,screen_location,button_centre,touch_location,touch_time,touch_precision
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S01,2021-11-11T15:08:10.571Z,2021-11-11T15:08:15.588Z,A,F,"428,522","434,503",2021-11-11T15:08:12.006Z,19.924858845171276
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S01,2021-11-11T15:08:10.571Z,2021-11-11T15:08:15.588Z,C,F,"723,122","751,99",2021-11-11T15:08:14.474Z,36.235341863986875
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S01,2021-11-11T15:08:10.571Z,2021-11-11T15:08:15.588Z,B,N,"503,470","504,457",2021-11-11T15:08:13.357Z,13.038404810405298
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S01,2021-11-11T15:08:10.571Z,2021-11-11T15:08:15.588Z,D,N,"990,545","1016,557",2021-11-11T15:08:15.600Z,28.635642126552707
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S02,2021-11-11T15:08:25.605Z,2021-11-11T15:08:29.738Z,B,N,"932,560","933,630",2021-11-11T15:08:26.663Z,70.00714249274856
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S02,2021-11-11T15:08:25.605Z,2021-11-11T15:08:29.738Z,C,N,"636,627","658,638",2021-11-11T15:08:27.718Z,24.596747752497688
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S02,2021-11-11T15:08:25.605Z,2021-11-11T15:08:29.738Z,D,F,"429,184","419,238",2021-11-11T15:08:29.241Z,54.91812087098393
PP001,Baseline,Land,2021-11-11T15:08:00.560Z,S02,2021-11-11T15:08:25.605Z,2021-11-11T15:08:29.738Z,A,F,"1294,658","1321,626",2021-11-11T15:08:29.737Z,41.86884283091664
